Running training with line graph partitions
Simulated graph file doesn't exist, generating file...
Generating graphs...
Graphs generated
Generating line graphs...
389/1000 done, time: 9.558127641677856, etr: 5859.132244348526
390/1000 done, time: 9.597851276397705, etr: 5873.8849811553955
391/1000 done, time: 9.581658363342285, etr: 5854.393260002136
392/1000 done, time: 9.716855764389038, etr: 5927.282016277313
393/1000 done, time: 9.865329265594482, etr: 6007.98552274704
394/1000 done, time: 9.668835401535034, etr: 5878.651924133301
395/1000 done, time: 9.657464981079102, etr: 5862.081243515015
396/1000 done, time: 9.538724899291992, etr: 5780.467288970947
397/1000 done, time: 9.585166931152344, etr: 5799.025993347168
398/1000 done, time: 9.68194580078125, etr: 5847.895263671875
399/1000 done, time: 9.764041423797607, etr: 5887.716978549957
400/1000 done, time: 9.6200532913208, etr: 5791.272081375122
401/1000 done, time: 9.6535964012146, etr: 5801.811437129974
402/1000 done, time: 9.593628168106079, etr: 5756.1769008636475
403/1000 done, time: 9.611637353897095, etr: 5757.37077498436
404/1000 done, time: 9.549800157546997, etr: 5710.780494213104
405/1000 done, time: 9.578257083892822, etr: 5718.219479084015
406/1000 done, time: 9.625974655151367, etr: 5737.080894470215
407/1000 done, time: 9.665087461471558, etr: 5750.727039575577
408/1000 done, time: 9.62038516998291, etr: 5714.508790969849
409/1000 done, time: 9.67543911933899, etr: 5737.535397768021
410/1000 done, time: 9.621050357818604, etr: 5695.661811828613
411/1000 done, time: 9.676496505737305, etr: 5718.809434890747
412/1000 done, time: 9.574835300445557, etr: 5649.152827262878
413/1000 done, time: 9.686282396316528, etr: 5705.220331430435
414/1000 done, time: 9.69952940940857, etr: 5703.323292732239
415/1000 done, time: 9.96480917930603, etr: 5849.34298825264
416/1000 done, time: 9.713497400283813, etr: 5692.109476566315
417/1000 done, time: 9.719498872756958, etr: 5685.90684056282
418/1000 done, time: 9.83997631072998, etr: 5746.546165466309
419/1000 done, time: 9.777104377746582, etr: 5700.051852226257
420/1000 done, time: 9.67779541015625, etr: 5632.4769287109375
421/1000 done, time: 9.652122497558594, etr: 5607.883171081543
422/1000 done, time: 9.639543771743774, etr: 5590.935387611389
423/1000 done, time: 9.752815961837769, etr: 5646.880441904068
424/1000 done, time: 9.721017122268677, etr: 5618.747896671295
425/1000 done, time: 9.679671049118042, etr: 5585.17019534111
426/1000 done, time: 9.690691947937012, etr: 5581.838562011719
427/1000 done, time: 9.703295469284058, etr: 5579.394894838333
428/1000 done, time: 9.736060619354248, etr: 5588.498795509338
429/1000 done, time: 9.65609622001648, etr: 5532.943134069443
430/1000 done, time: 9.871111392974854, etr: 5646.275716781616
431/1000 done, time: 9.798537254333496, etr: 5594.964772224426
432/1000 done, time: 9.702560424804688, etr: 5530.459442138672
433/1000 done, time: 9.82221794128418, etr: 5588.842008590698
434/1000 done, time: 9.662758350372314, etr: 5488.446743011475
435/1000 done, time: 9.813177585601807, etr: 5564.071691036224
436/1000 done, time: 9.814162254333496, etr: 5554.815835952759
437/1000 done, time: 9.946375370025635, etr: 5619.702084064484
438/1000 done, time: 9.714768648147583, etr: 5479.129517555237
439/1000 done, time: 9.893506288528442, etr: 5570.044040441513
440/1000 done, time: 9.742947340011597, etr: 5475.536405086517
441/1000 done, time: 9.852046966552734, etr: 5526.998348236084
442/1000 done, time: 9.651901721954346, etr: 5405.064964294434
443/1000 done, time: 9.74990701675415, etr: 5450.19802236557
444/1000 done, time: 9.686513423919678, etr: 5405.07449054718
445/1000 done, time: 9.75394606590271, etr: 5432.947958707809
446/1000 done, time: 9.69136118888855, etr: 5388.396821022034
447/1000 done, time: 9.632494926452637, etr: 5346.034684181213
448/1000 done, time: 9.759774684906006, etr: 5406.915175437927
449/1000 done, time: 9.805474996566772, etr: 5422.427673101425
450/1000 done, time: 9.698354959487915, etr: 5353.491937637329
451/1000 done, time: 9.78908085823059, etr: 5393.7835528850555
452/1000 done, time: 9.614498615264893, etr: 5287.974238395691
